DATASET,TRAIN_RELEASES,%TRAIN_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,
tajo,3,66.76871694962426,IBk,Best first (forward),Under,None,0.4784688995215311,0.8333333333333334,0.88370965238982,0.5505069076009877,100.0,109.0,965.0,20.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Under,None,0.4784688995215311,0.8333333333333334,0.88370965238982,0.5505069076009877,100.0,109.0,965.0,20.0,
tajo,3,66.76871694962426,IBk,Best first (forward),Over,None,0.49375,0.6583333333333333,0.8848192116697703,0.5077453365774532,79.0,81.0,993.0,41.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Over,None,0.49375,0.6583333333333333,0.8848192116697703,0.5077453365774532,79.0,81.0,993.0,41.0,
tajo,3,66.76871694962426,IBk,Best first (forward),Smote,None,0.5169491525423728,0.5083333333333333,0.8801326815642458,0.4586557853759204,61.0,57.0,1017.0,59.0,
tajo,3,66.76871694962426,IBk,Best first (backward),Smote,None,0.5169491525423728,0.5083333333333333,0.8801326815642458,0.4586557853759204,61.0,57.0,1017.0,59.0,
tajo,3,66.76871694962426,IBk,Best first (forward),None,Learning,0.4785714285714286,0.5583333333333333,0.881405183116077,0.45656697009102726,67.0,73.0,1001.0,53.0,
tajo,3,66.76871694962426,IBk,Best first (backward),None,Learning,0.4785714285714286,0.5583333333333333,0.881405183116077,0.45656697009102726,67.0,73.0,1001.0,53.0,
tajo,4,72.68865061703418,IBk,None,None,None,0.26744186046511625,0.21904761904761905,0.7575941862688851,0.18366070311522578,23.0,63.0,1182.0,82.0,
tajo,4,72.68865061703418,IBk,Best first (forward),None,None,0.5,0.3238095238095238,0.9092943201376936,0.35353673553153714,34.0,34.0,1211.0,71.0,
tajo,4,72.68865061703418,IBk,Best first (backward),None,None,0.5,0.3238095238095238,0.9092943201376936,0.35353673553153714,34.0,34.0,1211.0,71.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Under,None,0.3090128755364807,0.6857142857142857,0.9014037100784089,0.35709551513366233,72.0,161.0,1084.0,33.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Under,None,0.3090128755364807,0.6857142857142857,0.9014037100784089,0.35709551513366233,72.0,161.0,1084.0,33.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Over,None,0.29842931937172773,0.5428571428571428,0.9044253203289347,0.3165317533171994,57.0,134.0,1111.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Over,None,0.29842931937172773,0.5428571428571428,0.9044253203289347,0.3165317533171994,57.0,134.0,1111.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (forward),Smote,None,0.3184713375796178,0.47619047619047616,0.9081315739147064,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,IBk,Best first (backward),Smote,None,0.3184713375796178,0.47619047619047616,0.9081315739147064,0.31811804321391846,50.0,107.0,1138.0,55.0,
tajo,4,72.68865061703418,IBk,Best first (forward),None,Learning,0.2923076923076923,0.5428571428571428,0.9091145534519028,0.31025957972805934,57.0,138.0,1107.0,48.0,
tajo,4,72.68865061703418,IBk,Best first (backward),None,Learning,0.2923076923076923,0.5428571428571428,0.9091145534519028,0.31025957972805934,57.0,138.0,1107.0,48.0,
